appid,name,placement,developers,publishers,currency,windows,linux,mac,release_date,genre_racing,genre_massively multiplayer,genre_sports,genre_rpg,genre_indie,genre_casual,genre_adventure,genre_early access,genre_strategy,genre_simulation,genre_action,cat_steam_trading_cards,cat_multi-player,cat_co-op,cat_vr_supported,cat_stats,cat_cross-platform_multiplayer,cat_tracked_controller_support,cat_remote_play_on_tv,cat_remote_play_together,cat_steam_leaderboards,cat_steam_cloud,cat_family_sharing,cat_steam_workshop,cat_full_controller_support,cat_shared/split_screen,cat_steam_achievements,cat_shared/split_screen_pvp,cat_shared/split_screen_co-op,cat_lan_pvp,cat_captions_available,cat_single-player,cat_mmo,cat_pvp,cat_valve_anti-cheat_enabled,cat_partial_controller_support,cat_remote_play_on_phone,cat_downloadable_content,cat_remote_play_on_tablet,cat_online_pvp,cat_online_co-op,cat_hdr_available,cat_in-app_purchases,cat_lan_co-op
1172710,Dune: Awakening,20,Funcom,Funcom,$40-$50,1,0,0,2025-06-10,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0
2878980,NBA 2K25,21,Visual Concepts,2K,More than $60,1,0,0,2024-10-28,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0
2623190,The Elder Scrolls IV: Oblivion Remastered,23,Bethesda Game Studios,Bethesda Softworks,$50-$60,1,0,0,2025-04-22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2183900,"Warhammer 40,000: Space Marine 2",24,Saber Interactive,Focus Entertainment,$50-$60,1,0,0,2024-09-09,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
39210,FINAL FANTASY XIV Online,25,Square Enix,Square Enix,$10-$20,1,0,0,2014-02-18,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0
275850,No Man's Sky,26,Hello Games,Hello Games,$40-$50,1,0,1,2016-08-12,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0
252490,Rust,27,Facepunch Studios,Facepunch Studios,$30-$40,1,0,1,2018-02-08,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0
1142710,Total War: WARHAMMER III,28,CREATIVE ASSEMBLY,SEGA,More than $60,1,1,1,2022-02-16,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1
2531310,The Last of Us™ Part II Remastered,29,Naughty Dog LLC,PlayStation Publishing LLC,$50-$60,1,0,0,2025-04-03,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
108600,Project Zomboid,30,The Indie Stone,The Indie Stone,$10-$20,1,1,1,2013-11-08,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
2742830,Monster Train 2,31,Shiny Shoe,Big Fan Games,$20-$30,1,0,0,2025-05-21,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2157560,Granblue Fantasy Versus: Rising,32,"Cygames, Inc.","Cygames, Inc.",$50-$60,1,0,0,2023-12-13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
1086940,Baldur's Gate 3,33,Larian Studios,Larian Studios,$50-$60,1,0,1,2023-08-03,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2186680,"Warhammer 40,000: Rogue Trader",34,Owlcat Games,Owlcat Games,$40-$50,1,0,1,2023-12-07,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
306130,The Elder Scrolls® Online,35,ZeniMax Online Studios,Bethesda Softworks,$20-$30,1,0,1,2017-05-22,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0
221100,DayZ,36,Bohemia Interactive,Bohemia Interactive,$40-$50,1,0,0,2018-12-13,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
1361210,"Warhammer 40,000: Darktide",37,Fatshark,Fatshark,$30-$40,1,0,0,2022-11-30,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
1029690,Sniper Elite 5,38,Rebellion,Rebellion,$20-$30,1,0,0,2022-05-25,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0
1245620,ELDEN RING,39,"FromSoftware, Inc.","FromSoftware, Inc.",More than $60,1,0,0,2022-02-24,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
