appid,name,placement,developers,publishers,currency,windows,linux,mac,release_date,genre_casual,genre_sports,genre_indie,genre_simulation,genre_action,genre_massively multiplayer,genre_adventure,genre_early access,genre_rpg,genre_strategy,genre_racing,cat_lan_co-op,cat_stats,cat_steam_workshop,cat_remote_play_on_tablet,cat_tracked_controller_support,cat_steam_leaderboards,cat_pvp,cat_shared/split_screen_pvp,cat_family_sharing,cat_steam_achievements,cat_lan_pvp,cat_single-player,cat_online_co-op,cat_mmo,cat_remote_play_on_tv,cat_downloadable_content,cat_co-op,cat_captions_available,cat_remote_play_on_phone,cat_in-app_purchases,cat_hdr_available,cat_cross-platform_multiplayer,cat_online_pvp,cat_steam_trading_cards,cat_vr_supported,cat_multi-player,cat_valve_anti-cheat_enabled,cat_shared/split_screen,cat_shared/split_screen_co-op,cat_remote_play_together,cat_includes_level_editor,cat_full_controller_support,cat_steam_cloud,cat_partial_controller_support
1374490,RuneScape: Dragonwilds,31,Jagex Ltd,Jagex Ltd,$20-$30,1,0,0,2025-04-15,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1172710,Dune: Awakening,32,Funcom,Funcom,$40-$50,1,0,0,2025-06-10,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
292030,The Witcher 3: Wild Hunt,33,CD PROJEKT RED,CD PROJEKT RED,$40-$50,1,0,0,2015-05-18,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3240220,Grand Theft Auto V Enhanced,34,Rockstar North,Rockstar Games,$40-$50,1,0,0,2025-03-04,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2933620,Call of Duty®: Black Ops 6,35,Treyarch,Activision,More than $60,1,0,0,2024-10-24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
1623730,Palworld,36,Pocketpair,Pocketpair,$20-$30,1,0,0,2024-01-18,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
899770,Last Epoch,37,Eleventh Hour Games,Eleventh Hour Games,$20-$30,1,0,0,2024-02-21,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1874880,Arma Reforger,38,Bohemia Interactive,Bohemia Interactive,$20-$30,1,0,0,2023-11-16,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0
1771300,Kingdom Come: Deliverance II,40,Warhorse Studios,Deep Silver,$50-$60,1,0,0,2025-02-04,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2400430,Capcom Fighting Collection 2,41,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",$30-$40,1,0,0,2025-05-15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0
489830,The Elder Scrolls V: Skyrim Special Edition,42,Bethesda Game Studios,Bethesda Softworks,$30-$40,1,0,0,2016-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
39210,FINAL FANTASY XIV Online,43,Square Enix,Square Enix,$10-$20,1,0,0,2014-02-18,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
2385530,PGA TOUR 2K25,44,HB Studios,2K,More than $60,1,0,0,2025-02-27,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0
1888930,The Last of Us™ Part I,45,Naughty Dog LLC,PlayStation Publishing LLC,More than $60,1,0,0,2023-03-28,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1604030,V Rising,46,Stunlock Studios,Stunlock Studios,$10-$20,1,0,0,2024-05-08,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
1104280,The Slormancer,47,Slormite Studios,Slormite Studios,$10-$20,1,0,0,2025-05-13,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2488370,Cash Cleaner Simulator,48,Mind Control Games,Forklift Interactive,$10-$20,1,0,0,2025-05-08,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
739630,Phasmophobia,49,Kinetic Games,Kinetic Games,$10-$20,1,0,0,2020-09-18,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
