appid,name,placement,developers,publishers,currency,windows,linux,mac,release_date,genre_racing,genre_adventure,genre_strategy,genre_simulation,genre_massively multiplayer,genre_casual,genre_rpg,genre_sports,genre_early access,genre_indie,genre_action,cat_remote_play_together,cat_multi-player,cat_co-op,cat_hdr_available,cat_steam_cloud,cat_includes_level_editor,cat_shared/split_screen_co-op,cat_remote_play_on_tablet,cat_steam_workshop,cat_full_controller_support,cat_steam_trading_cards,cat_online_pvp,cat_valve_anti-cheat_enabled,cat_lan_pvp,cat_steam_leaderboards,cat_stats,cat_shared/split_screen,cat_cross-platform_multiplayer,cat_downloadable_content,cat_pvp,cat_in-app_purchases,cat_remote_play_on_tv,cat_partial_controller_support,cat_mmo,cat_shared/split_screen_pvp,cat_single-player,cat_captions_available,cat_steam_achievements,cat_family_sharing,cat_remote_play_on_phone,cat_lan_co-op,cat_online_co-op
3241660,R.E.P.O.,20,semiwork,semiwork,$5-$10,1,0,0,2025-02-26,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1144200,Ready or Not,21,VOID Interactive,VOID Interactive,$20-$30,1,0,0,2023-12-13,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
381210,Dead by Daylight,22,Behaviour Interactive Inc.,Behaviour Interactive Inc.,$10-$20,1,0,0,2016-06-14,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
2784470,9 Kings,23,Sad Socket,Hooded Horse,$10-$20,1,0,1,2025-05-23,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
2479810,Gray Zone Warfare,24,"MADFINGER Games, a.s.","MADFINGER Games, a.s.",$30-$40,1,0,0,2024-04-30,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1888160,ARMORED CORE™ VI FIRES OF RUBICON™,25,"FromSoftware, Inc.","FromSoftware, Inc.",More than $60,1,0,0,2023-08-24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
1172710,Dune: Awakening,26,Funcom,Funcom,$40-$50,1,0,0,2025-06-10,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
2138330,Cyberpunk 2077: Phantom Liberty,27,CD PROJEKT RED,CD PROJEKT RED,$20-$30,1,0,0,2023-09-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
306130,The Elder Scrolls® Online,28,ZeniMax Online Studios,Bethesda Softworks,$20-$30,1,0,1,2017-05-22,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1
359550,Tom Clancy's Rainbow Six® Siege,29,Ubisoft Montreal,Ubisoft,$10-$20,1,0,0,2015-12-01,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
2669320,EA SPORTS FC™ 25,30,EA Canada,Electronic Arts,More than $60,1,0,0,2024-09-26,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1
1282100,REMNANT II®,31,Gunfire Games,Arc Games,$40-$50,1,0,0,2023-07-25,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
1245620,ELDEN RING,32,"FromSoftware, Inc.","FromSoftware, Inc.",More than $60,1,0,0,2022-02-24,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
2625420,Drive Beyond Horizons,33,Drive Beyond Horizons,Tacty Studio,$20-$30,1,0,0,2025-03-24,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
2679460,Metaphor: ReFantazio,34,ATLUS,SEGA,More than $60,1,0,0,2024-10-10,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
3489700,Stellar Blade™,35,SHIFT UP Corporation,PlayStation Publishing LLC (excluding China),More than $60,1,0,0,2025-06-11,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
281990,Stellaris,36,Paradox Development Studio,Paradox Interactive,$30-$40,1,1,1,2016-05-09,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
632360,Risk of Rain 2,37,Hopoo Games,Gearbox Publishing,$10-$20,1,0,0,2020-08-11,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1
